Section,Part,Number,Title,Passage,Instruction,QuestionText,Type,CorrectAnswer,OptionA,OptionB,OptionC,OptionD,Explanation,Difficulty
Reading,R1,1,Email Inquiry,"From: sarah.mitchell@email.com
To: manager@fitnessdynamics.ca
Subject: Re: Membership Inquiry
Date: March 15, 2024

Dear Manager,

Thank you for your prompt response to my inquiry about your gymnasium 
facilities. I am very interested in your new classes, particularly the 
morning yoga and evening pilates sessions. However, before I commit to a 
membership, I would appreciate more information.

Specifically, I would like to know:
1. Are the facilities wheelchair accessible?
2. What is included in the premium membership package?
3. Can I pause my membership temporarily without penalty if I need to 
   travel for work?

I am also curious about your class scheduling. I notice from your website 
that most classes run in the evenings. Do you accommodate members who 
prefer early morning sessions? I typically wake at 5 AM and would be 
interested in classes before 8 AM.

Regarding payment, would you accept monthly automatic transfers from my 
bank account, or do you require credit card payments only?

I look forward to your detailed response. I have been searching for a 
suitable fitness facility in this area for quite some time.

Best regards,
Sarah Mitchell","Answer the following questions based on the email above.",What is the main purpose of Sarah's email?,gist,To request more information about membership options,,,,,Sarah is inquiring about specific details before joining,easy
Reading,R1,2,Email Inquiry,"From: sarah.mitchell@email.com
To: manager@fitnessdynamics.ca
Subject: Re: Membership Inquiry
Date: March 15, 2024

Dear Manager,

Thank you for your prompt response to my inquiry about your gymnasium 
facilities. I am very interested in your new classes, particularly the 
morning yoga and evening pilates sessions. However, before I commit to a 
membership, I would appreciate more information.

Specifically, I would like to know:
1. Are the facilities wheelchair accessible?
2. What is included in the premium membership package?
3. Can I pause my membership temporarily without penalty if I need to 
   travel for work?

I am also curious about your class scheduling. I notice from your website 
that most classes run in the evenings. Do you accommodate members who 
prefer early morning sessions? I typically wake at 5 AM and would be 
interested in classes before 8 AM.

Regarding payment, would you accept monthly automatic transfers from my 
bank account, or do you require credit card payments only?

I look forward to your detailed response. I have been searching for a 
suitable fitness facility in this area for quite some time.

Best regards,
Sarah Mitchell","Answer the following questions based on the email above.",According to the email what are Sarah's main concerns before joining?,detail,Accessibility; Premium package details; Membership pause policy,,,,,The email explicitly lists these three points,easy
Reading,R1,3,Email Inquiry,"From: sarah.mitchell@email.com
To: manager@fitnessdynamics.ca
Subject: Re: Membership Inquiry
Date: March 15, 2024

Dear Manager,

Thank you for your prompt response to my inquiry about your gymnasium 
facilities. I am very interested in your new classes, particularly the 
morning yoga and evening pilates sessions. However, before I commit to a 
membership, I would appreciate more information.

Specifically, I would like to know:
1. Are the facilities wheelchair accessible?
2. What is included in the premium membership package?
3. Can I pause my membership temporarily without penalty if I need to 
   travel for work?

I am also curious about your class scheduling. I notice from your website 
that most classes run in the evenings. Do you accommodate members who 
prefer early morning sessions? I typically wake at 5 AM and would be 
interested in classes before 8 AM.

Regarding payment, would you accept monthly automatic transfers from my 
bank account, or do you require credit card payments only?

I look forward to your detailed response. I have been searching for a 
suitable fitness facility in this area for quite some time.

Best regards,
Sarah Mitchell","Answer the following questions based on the email above.",Why does Sarah mention that she wakes at 5 AM?,inference,To demonstrate her preference for early morning fitness classes,,,,,This explains her interest in classes before 8 AM,medium
Reading,R1,4,Email Inquiry,"From: sarah.mitchell@email.com
To: manager@fitnessdynamics.ca
Subject: Re: Membership Inquiry
Date: March 15, 2024

Dear Manager,

Thank you for your prompt response to my inquiry about your gymnasium 
facilities. I am very interested in your new classes, particularly the 
morning yoga and evening pilates sessions. However, before I commit to a 
membership, I would appreciate more information.

Specifically, I would like to know:
1. Are the facilities wheelchair accessible?
2. What is included in the premium membership package?
3. Can I pause my membership temporarily without penalty if I need to 
   travel for work?

I am also curious about your class scheduling. I notice from your website 
that most classes run in the evenings. Do you accommodate members who 
prefer early morning sessions? I typically wake at 5 AM and would be 
interested in classes before 8 AM.

Regarding payment, would you accept monthly automatic transfers from my 
bank account, or do you require credit card payments only?

I look forward to your detailed response. I have been searching for a 
suitable fitness facility in this area for quite some time.

Best regards,
Sarah Mitchell","Answer the following questions based on the email above.","In the passage, the word 'accommodate' most likely means:",mcq,B,To demand,To provide for,To argue with,To ignore,"Based on context: 'Do you accommodate members who prefer early morning sessions?' means 'Do you provide for' their needs",medium
Reading,R1,5,Email Inquiry,"From: sarah.mitchell@email.com
To: manager@fitnessdynamics.ca
Subject: Re: Membership Inquiry
Date: March 15, 2024

Dear Manager,

Thank you for your prompt response to my inquiry about your gymnasium 
facilities. I am very interested in your new classes, particularly the 
morning yoga and evening pilates sessions. However, before I commit to a 
membership, I would appreciate more information.

Specifically, I would like to know:
1. Are the facilities wheelchair accessible?
2. What is included in the premium membership package?
3. Can I pause my membership temporarily without penalty if I need to 
   travel for work?

I am also curious about your class scheduling. I notice from your website 
that most classes run in the evenings. Do you accommodate members who 
prefer early morning sessions? I typically wake at 5 AM and would be 
interested in classes before 8 AM.

Regarding payment, would you accept monthly automatic transfers from my 
bank account, or do you require credit card payments only?

I look forward to your detailed response. I have been searching for a 
suitable fitness facility in this area for quite some time.

Best regards,
Sarah Mitchell","Answer the following questions based on the email above.",What is the overall tone of this email?,tone_purpose,Professional and courteous,Demanding and rude,Apologetic and uncertain,Angry and threatening,Uses polite language: 'thank you' 'would appreciate' and formal structure,easy
Reading,R1,6,Email Inquiry,"From: sarah.mitchell@email.com
To: manager@fitnessdynamics.ca
Subject: Re: Membership Inquiry
Date: March 15, 2024

Dear Manager,

Thank you for your prompt response to my inquiry about your gymnasium 
facilities. I am very interested in your new classes, particularly the 
morning yoga and evening pilates sessions. However, before I commit to a 
membership, I would appreciate more information.

Specifically, I would like to know:
1. Are the facilities wheelchair accessible?
2. What is included in the premium membership package?
3. Can I pause my membership temporarily without penalty if I need to 
   travel for work?

I am also curious about your class scheduling. I notice from your website 
that most classes run in the evenings. Do you accommodate members who 
prefer early morning sessions? I typically wake at 5 AM and would be 
interested in classes before 8 AM.

Regarding payment, would you accept monthly automatic transfers from my 
bank account, or do you require credit card payments only?

I look forward to your detailed response. I have been searching for a 
suitable fitness facility in this area for quite some time.

Best regards,
Sarah Mitchell","Answer the following questions based on the email above.",What methods of payment does Sarah ask about?,detail,Bank account transfers and credit card payments,,,,,She specifically asks about these two payment options,medium
Reading,R1,7,Email Inquiry,"From: sarah.mitchell@email.com
To: manager@fitnessdynamics.ca
Subject: Re: Membership Inquiry
Date: March 15, 2024

Dear Manager,

Thank you for your prompt response to my inquiry about your gymnasium 
facilities. I am very interested in your new classes, particularly the 
morning yoga and evening pilates sessions. However, before I commit to a 
membership, I would appreciate more information.

Specifically, I would like to know:
1. Are the facilities wheelchair accessible?
2. What is included in the premium membership package?
3. Can I pause my membership temporarily without penalty if I need to 
   travel for work?

I am also curious about your class scheduling. I notice from your website 
that most classes run in the evenings. Do you accommodate members who 
prefer early morning sessions? I typically wake at 5 AM and would be 
interested in classes before 8 AM.

Regarding payment, would you accept monthly automatic transfers from my 
bank account, or do you require credit card payments only?

I look forward to your detailed response. I have been searching for a 
suitable fitness facility in this area for quite some time.

Best regards,
Sarah Mitchell","Answer the following questions based on the email above.",Can we infer that Sarah has looked for fitness facilities before?,inference,Yes; she states she has been searching for quite some time,,,,,Direct inference from: 'I have been searching for a suitable fitness facility in this area for quite some time',medium
Reading,R1,8,Email Inquiry,"From: sarah.mitchell@email.com
To: manager@fitnessdynamics.ca
Subject: Re: Membership Inquiry
Date: March 15, 2024

Dear Manager,

Thank you for your prompt response to my inquiry about your gymnasium 
facilities. I am very interested in your new classes, particularly the 
morning yoga and evening pilates sessions. However, before I commit to a 
membership, I would appreciate more information.

Specifically, I would like to know:
1. Are the facilities wheelchair accessible?
2. What is included in the premium membership package?
3. Can I pause my membership temporarily without penalty if I need to 
   travel for work?

I am also curious about your class scheduling. I notice from your website 
that most classes run in the evenings. Do you accommodate members who 
prefer early morning sessions? I typically wake at 5 AM and would be 
interested in classes before 8 AM.

Regarding payment, would you accept monthly automatic transfers from my 
bank account, or do you require credit card payments only?

I look forward to your detailed response. I have been searching for a 
suitable fitness facility in this area for quite some time.

Best regards,
Sarah Mitchell","Answer the following questions based on the email above.",Which two classes does Sarah express interest in?,detail,Yoga and pilates,,,,,She mentions: 'morning yoga and evening pilates sessions',easy
Reading,R1,9,Email Inquiry,"From: sarah.mitchell@email.com
To: manager@fitnessdynamics.ca
Subject: Re: Membership Inquiry
Date: March 15, 2024

Dear Manager,

Thank you for your prompt response to my inquiry about your gymnasium 
facilities. I am very interested in your new classes, particularly the 
morning yoga and evening pilates sessions. However, before I commit to a 
membership, I would appreciate more information.

Specifically, I would like to know:
1. Are the facilities wheelchair accessible?
2. What is included in the premium membership package?
3. Can I pause my membership temporarily without penalty if I need to 
   travel for work?

I am also curious about your class scheduling. I notice from your website 
that most classes run in the evenings. Do you accommodate members who 
prefer early morning sessions? I typically wake at 5 AM and would be 
interested in classes before 8 AM.

Regarding payment, would you accept monthly automatic transfers from my 
bank account, or do you require credit card payments only?

I look forward to your detailed response. I have been searching for a 
suitable fitness facility in this area for quite some time.

Best regards,
Sarah Mitchell","Answer the following questions based on the email above.",What can we infer about Sarah's work situation?,inference,She may need to travel occasionally for work,,,,,She mentions needing to pause her membership for work travel,hard
Reading,R1,10,Email Inquiry,"From: sarah.mitchell@email.com
To: manager@fitnessdynamics.ca
Subject: Re: Membership Inquiry
Date: March 15, 2024

Dear Manager,

Thank you for your prompt response to my inquiry about your gymnasium 
facilities. I am very interested in your new classes, particularly the 
morning yoga and evening pilates sessions. However, before I commit to a 
membership, I would appreciate more information.

Specifically, I would like to know:
1. Are the facilities wheelchair accessible?
2. What is included in the premium membership package?
3. Can I pause my membership temporarily without penalty if I need to 
   travel for work?

I am also curious about your class scheduling. I notice from your website 
that most classes run in the evenings. Do you accommodate members who 
prefer early morning sessions? I typically wake at 5 AM and would be 
interested in classes before 8 AM.

Regarding payment, would you accept monthly automatic transfers from my 
bank account, or do you require credit card payments only?

I look forward to your detailed response. I have been searching for a 
suitable fitness facility in this area for quite some time.

Best regards,
Sarah Mitchell","Answer the following questions based on the email above.",How would you describe Sarah's overall approach to this inquiry?,tone_purpose,Thorough and professional,Lazy and disinterested,Aggressive and demanding,Confused and unsure,She lists specific requirements and uses formal professional language,hard
